Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
69;"540,2268042";"513,0038986";"484,8092408";"465,4814712";"446,9116244";"464,1077461";"420,5246723";"400,7804885";"391,2301113";"477,3028389";"426,0293417";"399,011278";"386,1864835";"496,7786227";"454,2003963";"424,6233625";"413,23722";"521,1957406";"483,9876031";"458,0764128";"444,1846463"
70;"93,02150289";"64,14047084";"47,12748667";"46,5188134";"57,38466694";"38,60051813";"83,52245207";"99,46356117";"101,9656805";"8,246211251";"64,93843238";"75,80237463";"74,54528825";"29,06888371";"53,60037313";"56,5862174";"51,623638";"64,63745044";"71,25307011";"76,21679605";"76,47875522"
72;"454,5415273";"432,7828555";"423,4489343";"423,0579157";"425,2646235";"459,9793474";"463,0874647";"454,0891983";"442,5471726";"476,2688316";"476,1270839";"455,7422517";"440,3146602";"488,0010246";"490,6373406";"465,636124";"448,0680752";"497,1005934";"506,4276849";"502,8011535";"499,3796151"
73;1;"6,32455532";"10,04987562";"15,29705854";"17,4642492";"9,899494937";"8,94427191";"7,280109889";"8,062257748";10;"7,071067812";"8,602325267";"16,2788206";"10,29563014";13;"15,8113883";"22,627417";15;"13,34166406";"13,89244399";"18,38477631"
74;"483,0838437";"427,1978464";"389,3173513";"369,9621602";"361,835598";"394,0114212";"373,0201067";"359,923603";"351,9232871";"426,3918386";"410,463153";"396,6081189";"388,5614495";"459,5095211";"449,6620954";"436,8363538";"428,2207375";"489,3475248";"483,7561369";"474,6535579";"465,5878005"
76;"25,70992026";"25,01999201";"26,30589288";"33,06055051";"43,41658669";"7,211102551";"18,68154169";"23,40939982";"23,76972865";"6,08276253";"8,544003745";"9,848857802";7;15;"15,03329638";"12,04159458";"13,60147051";"21,37755833";"19,10497317";"17,2626765";"17,2626765"
77;"10,77032961";"19,02629759";"33,24154028";"49,33558553";"63,0634601";"20,51828453";"15,8113883";10;"15,8113883";"14,03566885";"10,29563014";"25,63201124";"34,0147027";"11,40175425";10;"21,21320344";"28,86173938";"10,44030651";"11,3137085";"18,97366596";"24,33105012"
77;"369,2654871";"376,0491989";"388,7840017";"396,3130076";"396,5476012";"387,0930121";"401,1034779";"397,0793372";"389,2210169";"377,9272417";"388,5768907";"382,2564584";"376,6337744";"367,763511";"371,3569711";"365,3286192";"364,3350107";"356,8487074";"356,4168907";"352,732193";"355,9508393"
80;"302,1208368";"302,7887052";"289,2905114";"279,3080736";"266,5951988";"254,3265617";"232,9120005";"213,5509307";"196,7028215";"238,7676695";"206,1286006";"186,0779407";"170,4963343";"224,8910847";"187,5233319";"168,2438706";"156,4384863";"215,4553318";"180,055547";"165,1968523";"161,2761607"
80;"245,2835094";"255,556256";"257,3441276";"262,6404386";"258,069758";"240,2769236";"228,7050502";"208,8300745";"190,1578292";"230,9567059";"214,5530237";"192,9818644";"170,8361788";"222,3803049";"204,5336158";"181,3339461";"157,990506";"217,1474154";"203,710579";"188,2896705";"173,2772345"
81;"112,1605991";"89,45389874";"94,3027041";"108,78419";"118,4060809";"59,09314681";"95,07891459";"82,73451517";"67,47592163";"20,39607805";"72,47068373";"54,91812087";"29,73213749";"29,15475947";"62,93647591";"42,72001873";"21,37755833";"61,84658438";"69,89277502";"57,93962375";"48,54894438"
82;"265,0018868";"184,5318401";"120,7021127";"81,0061726";"58,69412236";"115,4339638";"74,20242584";"50,7740091";"34,0147027";"149,1106971";"108,78419";"84,30895563";"70,17834424";"188,0983785";"150,5456741";"134,5362405";"131,0343466";"224,4147945";"198,6403786";"181,664526";"173,6490714"
83;"255,2821968";"180,346888";"117,3882447";79;"66,21933252";109;"66,37017402";"46,06517123";"33,01514804";"139,6065901";"100,6479011";"78,44743463";"66,12110102";"176,5049574";"142,7200056";"130,1153335";"127,1416533";"211,9929244";"188,8623838";"176,9208863";"170,3555106"
83;"256,2810957";"179,279112";"116,0043103";"79,55501241";"70,49113419";"117,1537451";"73,00684899";"54,23098745";"39,05124838";146;"100,5783277";"78,26237921";"64,62971453";"177,1806987";"137,7679208";"118,0889495";"106,0754448";"208,4706214";"181,664526";"167,871975";"158,6190405"
84;"242,8250399";"172,3513853";"118,0169479";"88,52683209";"73,40980861";"108,2266141";"79,62411695";"62,03224968";"43,0464865";"133,1840831";"99,72462083";"81,22191822";"63,60031446";"161,0496818";"130,0499904";"115,0695442";"100,284595";192;"169,070991";"156,2049935";"145,0551619"
84;"251,3483638";"181,0994202";"124,579292";"94,33981132";"83,73768566";"114,629839";"86,72946443";"70,60453243";"55,03635162";"145,2480637";"119,3649865";"108,0740487";"98,97979592";"179,1200715";"154,1168388";"146,8740957";"140,1320806";"214,7556751";"197,010152";"189,9526257";"182,2223916"
85;"252,8734862";"219,0091322";"179,9694419";"150,9867544";"132,0757358";"144,0867794";"93,86160024";"76,96752562";"67,60177512";"146,11297";"101,0049504";"84,48076704";"78,40918314";"159,3549497";"117,686023";"105,1189802";"102,6157883";"178,7316424";"147,122398";"137,4190671";"135,6502857"
85;"254,1357905";"220,5810509";"183,7634349";"156,8948693";"136,5650028";"149,2146105";"106,282642";"96,04165763";"93,00537619";"149,966663";"103,1746093";"86,97700846";"79,76214641";"161,7714437";"119,4361754";"107,8702925";"105,2615789";"178,986033";"146,89452";"135,9301291";"133,824512"
